RIAD_CODE;LEI;COUNTRY_OF_REGISTRATION;NAME
AT0000003888151;5299001Z8JOKGWV5O949;AT;Oesterreichische Nationalbank
AT0000000674745;5299000OVRLMF858L016;AT;Oesterreichische Kontrollbank Aktiengesellschaft
AT0000084375995;529900E6JZYYJ2O1OA64;AT;Oesterreichische Entwicklungsbank AG
AT0000034042182;D1HEB8VEU6D9M8ZUXG17;AT;UniCredit Bank Austria AG
AT0000000537678;529900ICA8XQYGIKR372;AT;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft
AT0000000548014;RRUN0TCQ1K2JDV7MXO75;AT;Oberbank AG
AT0000000571933;5299003ATVTQVPTW4735;AT;BTV Vier Länder Bank AG
AT0000000571776;529900B9P29R8W03IX88;AT;BKS Bank AG
AT0000203159106;;AT;BNP Paribas SA Niederlassung Österreich
AT0000054177751;529900C567TZ45W7GV69;AT;A1 Bank AG
AT0000000920619;529900X1F1MUXHHDIV43;AT;Österreichische Ärzte- und Apothekerbank AG
AT0000040228585;;AT;Société Générale Zweigniederlassung Wien
AT0000051045050;529900MTQXTM5IIGOI81;AT;Generali Bank AG
AT0000001276474;529900990PPI3K3RDT23;AT;Volkskreditbank AG
AT0000026736650;;AT;Deutsche Bank Aktiengesellschaft Filiale Wien
AT0000001632015;529900RCLERIIXF4QM23;AT;bank99 AG
AT0000002790218;549300KFLI6V2PUY8522;AT;Bank Gutmann Aktiengesellschaft
AT0000027738994;529900TXPMGGJR19EY42;AT;Kathrein Privatbank Aktiengesellschaft
AT0000018011393;529900GIW7IGDLAYP075;AT;PARTNER BANK AKTIENGESELLSCHAFT
AT0000014537508;52990010T57RAF234Z30;AT;Schelhammer Capital Bank AG
AT0000000550424;529900ESWL1AEC189F69;AT;Schoellerbank Aktiengesellschaft
AT0000000655363;529900VJCGLCR4SHRC78;AT;Bank Winter & Co. AG
AT0000016065490;52990022SP6JDAZ2DP74;AT;Bankhaus Denzel Aktiengesellschaft
AT0000016111609;529900SHKXCII9J8CF28;AT;BMW Austria Bank GmbH
AT0000044332201;;AT;MUFG Bank (Europe) N.V. Vienna Branch
AT0000110624283;529900EL3KKJRKOK2637;AT;RCI Banque SA, Niederlassung Österreich
AT0000052383153;529900VYY1MRNR59PN57;AT;Wiener Privatbank SE
AT0000160200224;54930032WVQDN7YNRI13;AT;LGT Bank AG, Zweigniederlassung Österreich
AT0000095298293;;AT;flatexDEGIRO Bank SE
AT0000024407924;529900CCYCFJRG4F2935;AT;Bankhaus Carl Spängler & Co. Aktiengesellschaft
AT0000027111929;529900ZVK4VTIS0TOT43;AT;DenizBank AG
AT0000187798408;549300IEVCBWVV97WC81;AT;Kommunalkredit Austria AG
AT0000049108937;;AT;Commerzbank AG Niederlassung Wien
AT0000043818077;52990056W0VDKEDYUY83;AT;VakifBank International AG
AT0000012288625;5299000I7Y60A8273788;AT;Santander Consumer Bank GmbH
AT0000067035186;549300POR1VXCUOJ3V54;AT;Western Union International Bank GmbH
AT0000000551661;529900M2F7D5795H1A49;AT;Raiffeisen Digital Bank AG
AT0000036169751;529900V2939FDC9YKQ07;AT;Bausparkasse Wüstenrot Aktiengesellschaft
AT0000000537595;529900WSSQ6JIRC66D02;AT;Banco do Brasil Aktiengesellschaft
AT0000019554466;PQOH26KWDF7CG10L6792;AT;Erste Group Bank AG
AT0000077807293;549300HUKIA1IZQHFZ83;AT;Erste Bank der oesterreichischen Sparkassen AG
AT0000077238903;529900Z9G1PRYZSX4O63;AT;Die Zweite Wiener Vereins-Sparcasse
AT0000001060704;529900XA7RHLU8ECBK28;AT;Sparkasse der Stadt Amstetten AG
AT0000002414074;549300X1FFW399TI1820;AT;Sparkasse Baden
AT0000013366578;529900HFS7EV7VIALL43;AT;Sparkasse Hainburg-Bruck-Neusiedl Aktiengesellschaft
AT0000016652511;529900YFDTTO5R71VW86;AT;Sparkasse Horn-Ravelsbach-Kirchberg Aktiengesellschaft
AT0000002419115;529900L5GWPLRF3T6825;AT;Sparkasse Korneuburg AG
AT0000018000354;52990080J4AQ0O07WO29;AT;KREMSER BANK UND SPARKASSEN AKTIENGESELLSCHAFT
AT0000002415634;529900Z4R67VBTGVH491;AT;Sparkasse Langenlois
AT0000002446357;529900JSHYRHGDZL1753;AT;Sparkasse Neunkirchen
AT0000002305967;5299004T81B4514RAQ13;AT;Sparkasse Pottenstein N.Ö.
AT0000047784135;529900ZKIMUP9PHZIY83;AT;Sparkasse Poysdorf AG
AT0000047525462;549300FVPWXG57TWN385;AT;SPARKASSE NIEDERÖSTERREICH MITTE WEST AKTIENGESELLSCHAFT
AT0000002448304;529900VABV69Q757MP34;AT;Sparkasse Scheibbs AG
AT0000001342797;529900TZVDFQV1D69R57;AT;Wiener Neustädter Sparkasse
AT0000014811184;529900K5H0F7K9SBO784;AT;Waldviertler Sparkasse Bank AG
AT0000016492306;529900408LYNP1ETAV33;AT;SPARKASSE FRANKENMARKT AKTIENGESELLSCHAFT
AT0000001492337;5299006ORDZE7VB1WT33;AT;Sparkasse Salzkammergut AG
AT0000018186278;5299009MP8BA1UW56F78;AT;Sparkasse Lambach Bank Aktiengesellschaft
AT0000014744211;V0VY22PV9D0HFTF8EI62;AT;Sparkasse Oberösterreich Bank AG
AT0000016554345;529900QU5N4XMZ1M8Y58;AT;Sparkasse Neuhofen Bank Aktiengesellschaft
AT0000051253241;529900XDISRMBH5UBL39;AT;Sparkasse Eferding-Peuerbach-Waizenkirchen
AT0000002419545;529900A3V7234Q3DNK66;AT;Sparkasse Pregarten - Unterweißenbach AG
